IGOR
X| Wed Jul 05 01:05:39 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  300   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.1850		
	1.0000		-0.1856		
	2.0000		-0.1851		
	3.0000		-0.1816		
	4.0000		-0.1841		
	5.0000		-0.1870		
	6.0000		-0.1901		
	7.0000		-0.1912		
	8.0000		-0.1920		
	9.0000		-0.1940		
	10.0000		-0.1974		
	11.0000		-0.2004		
	12.0000		-0.2006		
	13.0000		-0.2000		
	14.0000		-0.2000		
	15.0000		-0.2006		
	16.0000		-0.1988		
	17.0000		-0.1973		
	18.0000		-0.1997		
	19.0000		-0.2000		
	20.0000		-0.2018		
	21.0000		-0.2010		
	22.0000		-0.2000		
	23.0000		-0.2000		
	24.0000		-0.2000		
	25.0000		-0.1994		
	26.0000		-0.2002		
	27.0000		-0.2014		
	28.0000		-0.2038		
	29.0000		-0.2035		
	30.0000		-0.2008		
	31.0000		-0.2029		
	32.0000		-0.2050		
	33.0000		-0.2041		
	34.0000		-0.2020		
	35.0000		-0.2020		
	36.0000		-0.2023		
	37.0000		-0.2029		
	38.0000		-0.2023		
	39.0000		-0.2019		
	40.0000		-0.2038		
	41.0000		-0.2035		
	42.0000		-0.2050		
	43.0000		-0.2029		
	44.0000		-0.2014		
	45.0000		-0.2008		
	46.0000		-0.2008		
	47.0000		-0.2000		
	48.0000		-0.1994		
	49.0000		-0.1973		
	50.0000		-0.1970		
	51.0000		-0.1976		
	52.0000		-0.1970		
	53.0000		-0.1970		
	54.0000		-0.1970		
	55.0000		-0.1970		
	56.0000		-0.1968		
	57.0000		-0.1955		
	58.0000		-0.1947		
	59.0000		-0.1970		
	60.0000		-0.1977		
	61.0000		-0.2006		
	62.0000		-0.2006		
	63.0000		-0.2010		
	64.0000		-0.2020		
	65.0000		-0.2044		
	66.0000		-0.2062		
	67.0000		-0.2068		
	68.0000		-0.2068		
	69.0000		-0.2066		
	70.0000		-0.2054		
	71.0000		-0.2058		
	72.0000		-0.2070		
	73.0000		-0.2073		
	74.0000		-0.2069		
	75.0000		-0.2050		
	76.0000		-0.2064		
	77.0000		-0.2060		
	78.0000		-0.2050		
	79.0000		-0.2062		
	80.0000		-0.2076		
	81.0000		-0.2068		
	82.0000		-0.2066		
	83.0000		-0.2073		
	84.0000		-0.2070		
	85.0000		-0.2058		
	86.0000		-0.2047		
	87.0000		-0.2032		
	88.0000		-0.2035		
	89.0000		-0.2062		
	90.0000		-0.2070		
	91.0000		-0.2070		
	92.0000		-0.2079		
	93.0000		-0.2091		
	94.0000		-0.2076		
	95.0000		-0.2079		
	96.0000		-0.2088		
	97.0000		-0.2073		
	98.0000		-0.2082		
	99.0000		-0.2091		
	100.0000		-0.2070		
	101.0000		-0.2070		
	102.0000		-0.2073		
	103.0000		-0.2100		
	104.0000		-0.2110		
	105.0000		-0.2090		
	106.0000		-0.2100		
	107.0000		-0.2102		
	108.0000		-0.2094		
	109.0000		-0.2076		
	110.0000		-0.2070		
	111.0000		-0.2068		
	112.0000		-0.2069		
	113.0000		-0.2079		
	114.0000		-0.2076		
	115.0000		-0.2070		
	116.0000		-0.2070		
	117.0000		-0.2062		
	118.0000		-0.2062		
	119.0000		-0.2073		
	120.0000		-0.2085		
	121.0000		-0.2097		
	122.0000		-0.2104		
	123.0000		-0.2118		
	124.0000		-0.2120		
	125.0000		-0.2108		
	126.0000		-0.2100		
	127.0000		-0.2076		
	128.0000		-0.2073		
	129.0000		-0.2082		
	130.0000		-0.2114		
	131.0000		-0.2112		
	132.0000		-0.2114		
	133.0000		-0.2108		
	134.0000		-0.2108		
	135.0000		-0.2114		
	136.0000		-0.2123		
	137.0000		-0.2135		
	138.0000		-0.2120		
	139.0000		-0.2120		
	140.0000		-0.2118		
	141.0000		-0.2100		
	142.0000		-0.2118		
	143.0000		-0.2126		
	144.0000		-0.2144		
	145.0000		-0.2150		
	146.0000		-0.2147		
	147.0000		-0.2129		
	148.0000		-0.2138		
	149.0000		-0.2123		
	150.0000		-0.2116		
	151.0000		-0.2118		
	152.0000		-0.2118		
	153.0000		-0.2100		
	154.0000		-0.2110		
	155.0000		-0.2112		
	156.0000		-0.2104		
	157.0000		-0.2088		
	158.0000		-0.2066		
	159.0000		-0.2094		
	160.0000		-0.2104		
	161.0000		-0.2112		
	162.0000		-0.2105		
	163.0000		-0.2102		
	164.0000		-0.2108		
	165.0000		-0.2110		
	166.0000		-0.2100		
	167.0000		-0.2118		
