IGOR
X| Wed Jul 05 02:03:19 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  300   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.2710		
	1.0000		-0.2706		
	2.0000		-0.2685		
	3.0000		-0.2688		
	4.0000		-0.2697		
	5.0000		-0.2664		
	6.0000		-0.2676		
	7.0000		-0.2695		
	8.0000		-0.2706		
	9.0000		-0.2706		
	10.0000		-0.2696		
	11.0000		-0.2714		
	12.0000		-0.2724		
	13.0000		-0.2723		
	14.0000		-0.2714		
	15.0000		-0.2726		
	16.0000		-0.2732		
	17.0000		-0.2750		
	18.0000		-0.2719		
	19.0000		-0.2716		
	20.0000		-0.2723		
	21.0000		-0.2720		
	22.0000		-0.2740		
	23.0000		-0.2768		
	24.0000		-0.2758		
	25.0000		-0.2768		
	26.0000		-0.2766		
	27.0000		-0.2770		
	28.0000		-0.2747		
	29.0000		-0.2738		
	30.0000		-0.2750		
	31.0000		-0.2750		
	32.0000		-0.2762		
	33.0000		-0.2776		
	34.0000		-0.2779		
	35.0000		-0.2773		
	36.0000		-0.2768		
	37.0000		-0.2779		
	38.0000		-0.2770		
	39.0000		-0.2770		
	40.0000		-0.2791		
	41.0000		-0.2803		
	42.0000		-0.2804		
	43.0000		-0.2820		
	44.0000		-0.2804		
	45.0000		-0.2806		
	46.0000		-0.2838		
	47.0000		-0.2868		
	48.0000		-0.2850		
	49.0000		-0.2850		
	50.0000		-0.2841		
	51.0000		-0.2835		
	52.0000		-0.2804		
	53.0000		-0.2791		
	54.0000		-0.2782		
	55.0000		-0.2800		
	56.0000		-0.2806		
	57.0000		-0.2797		
	58.0000		-0.2782		
	59.0000		-0.2788		
	60.0000		-0.2785		
	61.0000		-0.2805		
	62.0000		-0.2823		
	63.0000		-0.2829		
	64.0000		-0.2826		
	65.0000		-0.2818		
	66.0000		-0.2832		
	67.0000		-0.2847		
	68.0000		-0.2835		
	69.0000		-0.2826		
	70.0000		-0.2808		
	71.0000		-0.2794		
	72.0000		-0.2794		
	73.0000		-0.2770		
	74.0000		-0.2770		
	75.0000		-0.2768		
	76.0000		-0.2760		
	77.0000		-0.2732		
	78.0000		-0.2724		
	79.0000		-0.2729		
	80.0000		-0.2718		
	81.0000		-0.2682		
	82.0000		-0.2676		
	83.0000		-0.2668		
	84.0000		-0.2685		
	85.0000		-0.2714		
	86.0000		-0.2706		
	87.0000		-0.2697		
	88.0000		-0.2716		
	89.0000		-0.2732		
	90.0000		-0.2758		
	91.0000		-0.2785		
	92.0000		-0.2785		
	93.0000		-0.2791		
	94.0000		-0.2766		
	95.0000		-0.2756		
	96.0000		-0.2758		
	97.0000		-0.2750		
	98.0000		-0.2770		
	99.0000		-0.2764		
	100.0000		-0.2756		
	101.0000		-0.2770		
	102.0000		-0.2776		
	103.0000		-0.2770		
	104.0000		-0.2794		
	105.0000		-0.2800		
	106.0000		-0.2800		
	107.0000		-0.2794		
	108.0000		-0.2770		
	109.0000		-0.2752		
	110.0000		-0.2732		
	111.0000		-0.2706		
	112.0000		-0.2700		
	113.0000		-0.2700		
	114.0000		-0.2704		
	115.0000		-0.2704		
	116.0000		-0.2700		
	117.0000		-0.2685		
	118.0000		-0.2704		
	119.0000		-0.2718		
	120.0000		-0.2726		
	121.0000		-0.2716		
	122.0000		-0.2682		
	123.0000		-0.2694		
	124.0000		-0.2704		
	125.0000		-0.2720		
	126.0000		-0.2732		
	127.0000		-0.2750		
	128.0000		-0.2747		
	129.0000		-0.2738		
	130.0000		-0.2754		
	131.0000		-0.2770		
	132.0000		-0.2759		
	133.0000		-0.2745		
	134.0000		-0.2754		
	135.0000		-0.2764		
	136.0000		-0.2770		
	137.0000		-0.2754		
	138.0000		-0.2752		
	139.0000		-0.2776		
	140.0000		-0.2800		
	141.0000		-0.2812		
	142.0000		-0.2820		
	143.0000		-0.2808		
	144.0000		-0.2806		
	145.0000		-0.2802		
	146.0000		-0.2782		
	147.0000		-0.2758		
	148.0000		-0.2770		
	149.0000		-0.2770		
	150.0000		-0.2785		
	151.0000		-0.2800		
	152.0000		-0.2766		
	153.0000		-0.2756		
	154.0000		-0.2760		
	155.0000		-0.2770		
	156.0000		-0.2751		
	157.0000		-0.2750		
	158.0000		-0.2744		
	159.0000		-0.2732		
	160.0000		-0.2720		
	161.0000		-0.2710		
	162.0000		-0.2700		
	163.0000		-0.2697		
	164.0000		-0.2673		
	165.0000		-0.2673		
	166.0000		-0.2676		
	167.0000		-0.2700		
