IGOR
X| Sun Jul 09 22:53:57 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  200   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.2883		
	1.0000		-0.2852		
	2.0000		-0.2879		
	3.0000		-0.2882		
	4.0000		-0.2879		
	5.0000		-0.2915		
	6.0000		-0.2903		
	7.0000		-0.2871		
	8.0000		-0.2898		
	9.0000		-0.2838		
	10.0000		-0.2791		
	11.0000		-0.2809		
	12.0000		-0.2840		
	13.0000		-0.2856		
	14.0000		-0.2860		
	15.0000		-0.2845		
	16.0000		-0.2829		
	17.0000		-0.2859		
	18.0000		-0.2902		
	19.0000		-0.2915		
	20.0000		-0.2887		
	21.0000		-0.2897		
	22.0000		-0.2879		
	23.0000		-0.2882		
	24.0000		-0.2851		
	25.0000		-0.2809		
	26.0000		-0.2804		
	27.0000		-0.2804		
	28.0000		-0.2764		
	29.0000		-0.2768		
	30.0000		-0.2785		
	31.0000		-0.2804		
	32.0000		-0.2791		
	33.0000		-0.2779		
	34.0000		-0.2795		
	35.0000		-0.2810		
	36.0000		-0.2790		
	37.0000		-0.2758		
	38.0000		-0.2746		
	39.0000		-0.2779		
	40.0000		-0.2791		
	41.0000		-0.2820		
	42.0000		-0.2857		
	43.0000		-0.2860		
	44.0000		-0.2870		
	45.0000		-0.2867		
	46.0000		-0.2892		
	47.0000		-0.2939		
	48.0000		-0.2867		
	49.0000		-0.2864		
	50.0000		-0.2881		
	51.0000		-0.2885		
	52.0000		-0.2866		
	53.0000		-0.2876		
	54.0000		-0.2866		
	55.0000		-0.2863		
	56.0000		-0.2841		
	57.0000		-0.2864		
	58.0000		-0.2851		
	59.0000		-0.2820		
	60.0000		-0.2782		
	61.0000		-0.2773		
	62.0000		-0.2793		
	63.0000		-0.2808		
	64.0000		-0.2769		
	65.0000		-0.2738		
	66.0000		-0.2714		
	67.0000		-0.2729		
	68.0000		-0.2749		
	69.0000		-0.2746		
	70.0000		-0.2773		
	71.0000		-0.2794		
	72.0000		-0.2800		
	73.0000		-0.2796		
	74.0000		-0.2774		
	75.0000		-0.2791		
	76.0000		-0.2790		
	77.0000		-0.2786		
	78.0000		-0.2778		
	79.0000		-0.2774		
	80.0000		-0.2779		
	81.0000		-0.2809		
	82.0000		-0.2794		
	83.0000		-0.2812		
	84.0000		-0.2829		
	85.0000		-0.2821		
	86.0000		-0.2796		
	87.0000		-0.2804		
	88.0000		-0.2812		
	89.0000		-0.2851		
	90.0000		-0.2858		
	91.0000		-0.2847		
	92.0000		-0.2856		
	93.0000		-0.2869		
	94.0000		-0.2864		
	95.0000		-0.2829		
	96.0000		-0.2838		
	97.0000		-0.2793		
	98.0000		-0.2809		
	99.0000		-0.2814		
	100.0000		-0.2831		
	101.0000		-0.2888		
	102.0000		-0.2882		
	103.0000		-0.2843		
	104.0000		-0.2856		
	105.0000		-0.2835		
	106.0000		-0.2792		
	107.0000		-0.2785		
	108.0000		-0.2776		
	109.0000		-0.2779		
	110.0000		-0.2782		
	111.0000		-0.2770		
	112.0000		-0.2776		
	113.0000		-0.2771		
	114.0000		-0.2797		
	115.0000		-0.2780		
	116.0000		-0.2791		
	117.0000		-0.2800		
	118.0000		-0.2812		
	119.0000		-0.2850		
	120.0000		-0.2823		
	121.0000		-0.2824		
	122.0000		-0.2826		
	123.0000		-0.2823		
	124.0000		-0.2812		
	125.0000		-0.2820		
	126.0000		-0.2830		
	127.0000		-0.2812		
	128.0000		-0.2836		
	129.0000		-0.2852		
	130.0000		-0.2844		
	131.0000		-0.2832		
	132.0000		-0.2846		
	133.0000		-0.2823		
	134.0000		-0.2801		
	135.0000		-0.2751		
	136.0000		-0.2753		
	137.0000		-0.2770		
	138.0000		-0.2768		
	139.0000		-0.2769		
	140.0000		-0.2766		
	141.0000		-0.2768		
	142.0000		-0.2773		
	143.0000		-0.2787		
	144.0000		-0.2797		
	145.0000		-0.2794		
	146.0000		-0.2830		
	147.0000		-0.2833		
	148.0000		-0.2821		
	149.0000		-0.2806		
	150.0000		-0.2812		
	151.0000		-0.2805		
	152.0000		-0.2798		
	153.0000		-0.2830		
	154.0000		-0.2821		
	155.0000		-0.2856		
	156.0000		-0.2841		
	157.0000		-0.2863		
	158.0000		-0.2879		
	159.0000		-0.2883		
	160.0000		-0.2884		
	161.0000		-0.2847		
	162.0000		-0.2829		
	163.0000		-0.2844		
	164.0000		-0.2869		
	165.0000		-0.2867		
	166.0000		-0.2856		
	167.0000		-0.2821		
	168.0000		-0.2803		
	169.0000		-0.2818		
	170.0000		-0.2837		
	171.0000		-0.2800		
	172.0000		-0.2800		
	173.0000		-0.2832		
	174.0000		-0.2862		
	175.0000		-0.2894		
	176.0000		-0.2888		
	177.0000		-0.2847		
	178.0000		-0.2820		
	179.0000		-0.2823		
	180.0000		-0.2829		
	181.0000		-0.2815		
	182.0000		-0.2752		
	183.0000		-0.2751		
	184.0000		-0.2780		
	185.0000		-0.2804		
	186.0000		-0.2832		
	187.0000		-0.2854		
	188.0000		-0.2862		
	189.0000		-0.2838		
	190.0000		-0.2836		
	191.0000		-0.2844		
	192.0000		-0.2842		
	193.0000		-0.2871		
	194.0000		-0.2906		
	195.0000		-0.2891		
	196.0000		-0.2866		
	197.0000		-0.2883		
	198.0000		-0.2868		
	199.0000		-0.2860		
END
