IGOR
X| Sun Jul 09 22:03:58 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  900   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.3522		
	1.0000		-0.3484		
	2.0000		-0.3418		
	3.0000		-0.3332		
	4.0000		-0.3256		
	5.0000		-0.3191		
	6.0000		-0.3162		
	7.0000		-0.3108		
	8.0000		-0.3044		
	9.0000		-0.3041		
	10.0000		-0.3070		
	11.0000		-0.3150		
	12.0000		-0.3156		
	13.0000		-0.3128		
	14.0000		-0.2570		
	15.0000		-0.2290		
	16.0000		-0.2507		
	17.0000		-0.2643		
	18.0000		-0.2709		
	19.0000		-0.2801		
	20.0000		-0.2890		
	21.0000		-0.2932		
	22.0000		-0.2982		
	23.0000		-0.3016		
	24.0000		-0.3057		
	25.0000		-0.3077		
	26.0000		-0.3069		
	27.0000		-0.3052		
	28.0000		-0.3056		
	29.0000		-0.3042		
	30.0000		-0.2963		
	31.0000		-0.2973		
	32.0000		-0.2999		
	33.0000		-0.3015		
	34.0000		-0.3042		
	35.0000		-0.3023		
	36.0000		-0.3011		
	37.0000		-0.3000		
	38.0000		-0.3052		
	39.0000		-0.3099		
	40.0000		-0.3112		
	41.0000		-0.3114		
	42.0000		-0.3105		
	43.0000		-0.3136		
	44.0000		-0.3079		
	45.0000		-0.3023		
	46.0000		-0.3016		
	47.0000		-0.2994		
	48.0000		-0.2990		
	49.0000		-0.2988		
	50.0000		-0.2988		
	51.0000		-0.3012		
	52.0000		-0.3008		
	53.0000		-0.2960		
	54.0000		-0.2960		
	55.0000		-0.2962		
	56.0000		-0.2960		
	57.0000		-0.2946		
	58.0000		-0.2943		
	59.0000		-0.2997		
	60.0000		-0.3021		
	61.0000		-0.3014		
	62.0000		-0.2970		
	63.0000		-0.2977		
	64.0000		-0.3008		
	65.0000		-0.3036		
	66.0000		-0.3005		
	67.0000		-0.2998		
	68.0000		-0.2968		
	69.0000		-0.2935		
	70.0000		-0.2974		
	71.0000		-0.2971		
	72.0000		-0.2964		
	73.0000		-0.2958		
	74.0000		-0.2956		
	75.0000		-0.2973		
	76.0000		-0.2981		
	77.0000		-0.2985		
	78.0000		-0.3000		
	79.0000		-0.3012		
	80.0000		-0.3039		
	81.0000		-0.3008		
	82.0000		-0.2979		
	83.0000		-0.2987		
	84.0000		-0.3005		
	85.0000		-0.3012		
	86.0000		-0.3012		
	87.0000		-0.3004		
	88.0000		-0.2967		
	89.0000		-0.2947		
	90.0000		-0.2956		
	91.0000		-0.2911		
	92.0000		-0.2875		
	93.0000		-0.2870		
	94.0000		-0.2902		
	95.0000		-0.2888		
	96.0000		-0.2933		
	97.0000		-0.2947		
	98.0000		-0.2921		
	99.0000		-0.2893		
	100.0000		-0.2932		
	101.0000		-0.2954		
	102.0000		-0.2953		
	103.0000		-0.2994		
	104.0000		-0.2976		
	105.0000		-0.2982		
	106.0000		-0.3001		
	107.0000		-0.3026		
	108.0000		-0.3011		
	109.0000		-0.2966		
	110.0000		-0.2979		
	111.0000		-0.2989		
	112.0000		-0.3006		
	113.0000		-0.2994		
	114.0000		-0.2973		
	115.0000		-0.2985		
	116.0000		-0.2971		
	117.0000		-0.2985		
	118.0000		-0.2962		
	119.0000		-0.2937		
	120.0000		-0.3014		
	121.0000		-0.3051		
	122.0000		-0.3020		
	123.0000		-0.3006		
	124.0000		-0.3008		
	125.0000		-0.2991		
	126.0000		-0.2932		
	127.0000		-0.2917		
	128.0000		-0.2932		
	129.0000		-0.2923		
	130.0000		-0.2910		
	131.0000		-0.2935		
	132.0000		-0.2935		
	133.0000		-0.2902		
	134.0000		-0.2920		
	135.0000		-0.2949		
	136.0000		-0.2949		
	137.0000		-0.2979		
	138.0000		-0.2996		
	139.0000		-0.3030		
	140.0000		-0.3014		
	141.0000		-0.3040		
	142.0000		-0.3041		
	143.0000		-0.3037		
	144.0000		-0.3021		
	145.0000		-0.3038		
	146.0000		-0.3058		
	147.0000		-0.3058		
	148.0000		-0.3035		
	149.0000		-0.3006		
	150.0000		-0.3048		
	151.0000		-0.3032		
	152.0000		-0.3046		
	153.0000		-0.3074		
	154.0000		-0.3088		
	155.0000		-0.3093		
	156.0000		-0.3102		
	157.0000		-0.3126		
	158.0000		-0.3124		
	159.0000		-0.3104		
	160.0000		-0.3110		
	161.0000		-0.3100		
	162.0000		-0.3099		
	163.0000		-0.3121		
	164.0000		-0.3135		
	165.0000		-0.3120		
	166.0000		-0.3108		
	167.0000		-0.3050		
	168.0000		-0.3032		
	169.0000		-0.3060		
	170.0000		-0.3058		
	171.0000		-0.3074		
	172.0000		-0.3061		
	173.0000		-0.3040		
	174.0000		-0.3058		
	175.0000		-0.3045		
	176.0000		-0.3081		
	177.0000		-0.3077		
	178.0000		-0.3095		
	179.0000		-0.3134		
	180.0000		-0.3126		
	181.0000		-0.3159		
	182.0000		-0.3132		
	183.0000		-0.3144		
	184.0000		-0.3140		
	185.0000		-0.3172		
	186.0000		-0.3171		
	187.0000		-0.3173		
	188.0000		-0.3124		
	189.0000		-0.3098		
	190.0000		-0.3114		
	191.0000		-0.3126		
	192.0000		-0.3143		
	193.0000		-0.3156		
	194.0000		-0.3118		
	195.0000		-0.3116		
	196.0000		-0.3141		
	197.0000		-0.3148		
	198.0000		-0.3167		
	199.0000		-0.3168		
	200.0000		-0.3170		
	201.0000		-0.3176		
	202.0000		-0.3171		
	203.0000		-0.3179		
	204.0000		-0.3154		
	205.0000		-0.3126		
	206.0000		-0.3087		
	207.0000		-0.3094		
	208.0000		-0.3080		
	209.0000		-0.3090		
	210.0000		-0.3144		
	211.0000		-0.3152		
	212.0000		-0.3187		
	213.0000		-0.3168		
