IGOR
X| Sun Jul 09 20:05:26 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  900   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.1285		
	1.0000		-0.1235		
	2.0000		-0.1195		
	3.0000		-0.1170		
	4.0000		-0.1160		
	5.0000		-0.1143		
	6.0000		-0.1144		
	7.0000		-0.1151		
	8.0000		-0.1147		
	9.0000		-0.1135		
	10.0000		-0.1138		
	11.0000		-0.1120		
	12.0000		-0.1116		
	13.0000		-0.0970		
	14.0000		-0.0839		
	15.0000		-0.0917		
	16.0000		-0.0934		
	17.0000		-0.0998		
	18.0000		-0.1026		
	19.0000		-0.1051		
	20.0000		-0.1070		
	21.0000		-0.1106		
	22.0000		-0.1120		
	23.0000		-0.1120		
	24.0000		-0.1093		
	25.0000		-0.1073		
	26.0000		-0.1070		
	27.0000		-0.1066		
	28.0000		-0.1054		
	29.0000		-0.1038		
	30.0000		-0.1020		
	31.0000		-0.1038		
	32.0000		-0.1019		
	33.0000		-0.0985		
	34.0000		-0.0976		
	35.0000		-0.0962		
	36.0000		-0.0999		
	37.0000		-0.1026		
	38.0000		-0.1050		
	39.0000		-0.1022		
	40.0000		-0.1026		
	41.0000		-0.1004		
	42.0000		-0.0994		
	43.0000		-0.1027		
	44.0000		-0.1032		
	45.0000		-0.1020		
	46.0000		-0.0994		
	47.0000		-0.1010		
	48.0000		-0.1000		
	49.0000		-0.1016		
	50.0000		-0.1003		
	51.0000		-0.0985		
	52.0000		-0.0982		
	53.0000		-0.0985		
	54.0000		-0.0999		
	55.0000		-0.1003		
	56.0000		-0.1020		
	57.0000		-0.1029		
	58.0000		-0.1066		
	59.0000		-0.1070		
	60.0000		-0.1062		
	61.0000		-0.1067		
	62.0000		-0.1073		
	63.0000		-0.1070		
	64.0000		-0.1070		
	65.0000		-0.1070		
	66.0000		-0.1066		
	67.0000		-0.1052		
	68.0000		-0.1075		
	69.0000		-0.1068		
	70.0000		-0.1044		
	71.0000		-0.1018		
	72.0000		-0.1016		
	73.0000		-0.1012		
	74.0000		-0.1020		
	75.0000		-0.1043		
	76.0000		-0.1026		
	77.0000		-0.1014		
	78.0000		-0.1029		
	79.0000		-0.1032		
	80.0000		-0.1038		
	81.0000		-0.1020		
	82.0000		-0.0997		
	83.0000		-0.1012		
	84.0000		-0.1016		
	85.0000		-0.1018		
	86.0000		-0.1021		
	87.0000		-0.1050		
	88.0000		-0.1038		
	89.0000		-0.1023		
	90.0000		-0.1026		
	91.0000		-0.1038		
	92.0000		-0.1080		
	93.0000		-0.1041		
	94.0000		-0.1026		
	95.0000		-0.1071		
	96.0000		-0.1097		
	97.0000		-0.1100		
	98.0000		-0.1099		
	99.0000		-0.1085		
	100.0000		-0.1053		
	101.0000		-0.1035		
	102.0000		-0.1041		
	103.0000		-0.1032		
	104.0000		-0.1014		
	105.0000		-0.0970		
	106.0000		-0.0994		
	107.0000		-0.1018		
	108.0000		-0.0998		
	109.0000		-0.1008		
	110.0000		-0.0979		
	111.0000		-0.1002		
	112.0000		-0.1018		
	113.0000		-0.1018		
	114.0000		-0.1012		
	115.0000		-0.0991		
	116.0000		-0.1018		
	117.0000		-0.1040		
	118.0000		-0.1064		
	119.0000		-0.1064		
	120.0000		-0.1035		
	121.0000		-0.0996		
	122.0000		-0.0980		
	123.0000		-0.0994		
	124.0000		-0.1000		
	125.0000		-0.0970		
	126.0000		-0.0968		
	127.0000		-0.0970		
	128.0000		-0.0966		
	129.0000		-0.0960		
	130.0000		-0.0967		
	131.0000		-0.0970		
	132.0000		-0.0979		
	133.0000		-0.0976		
	134.0000		-0.0976		
	135.0000		-0.1006		
	136.0000		-0.1016		
	137.0000		-0.1024		
	138.0000		-0.1029		
	139.0000		-0.1032		
	140.0000		-0.1023		
	141.0000		-0.1000		
	142.0000		-0.1008		
	143.0000		-0.1029		
	144.0000		-0.1041		
	145.0000		-0.1032		
	146.0000		-0.1035		
	147.0000		-0.1020		
	148.0000		-0.1038		
	149.0000		-0.1035		
	150.0000		-0.1060		
	151.0000		-0.1093		
	152.0000		-0.1112		
	153.0000		-0.1091		
	154.0000		-0.1104		
	155.0000		-0.1118		
	156.0000		-0.1111		
	157.0000		-0.1076		
	158.0000		-0.1079		
	159.0000		-0.1085		
	160.0000		-0.1102		
	161.0000		-0.1070		
	162.0000		-0.1068		
	163.0000		-0.1058		
	164.0000		-0.1058		
	165.0000		-0.1079		
	166.0000		-0.1070		
	167.0000		-0.1076		
	168.0000		-0.1070		
	169.0000		-0.1066		
	170.0000		-0.1062		
	171.0000		-0.1056		
	172.0000		-0.1093		
	173.0000		-0.1112		
	174.0000		-0.1132		
	175.0000		-0.1152		
	176.0000		-0.1180		
	177.0000		-0.1204		
	178.0000		-0.1203		
	179.0000		-0.1210		
	180.0000		-0.1204		
	181.0000		-0.1220		
	182.0000		-0.1220		
	183.0000		-0.1238		
	184.0000		-0.1229		
	185.0000		-0.1270		
	186.0000		-0.1258		
	187.0000		-0.1258		
	188.0000		-0.1256		
	189.0000		-0.1247		
	190.0000		-0.1238		
	191.0000		-0.1214		
	192.0000		-0.1214		
	193.0000		-0.1212		
	194.0000		-0.1197		
	195.0000		-0.1200		
	196.0000		-0.1215		
	197.0000		-0.1256		
	198.0000		-0.1273		
	199.0000		-0.1264		
	200.0000		-0.1256		
	201.0000		-0.1270		
	202.0000		-0.1266		
	203.0000		-0.1270		
	204.0000		-0.1270		
	205.0000		-0.1270		
	206.0000		-0.1237		
	207.0000		-0.1185		
	208.0000		-0.1173		
	209.0000		-0.1191		
	210.0000		-0.1136		
	211.0000		-0.1120		
	212.0000		-0.1114		
	213.0000		-0.1129		
