IGOR
X| Sun Jul 09 20:17:18 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  900   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.3102		
	1.0000		-0.3118		
	2.0000		-0.3100		
	3.0000		-0.3049		
	4.0000		-0.3038		
	5.0000		-0.3098		
	6.0000		-0.3032		
	7.0000		-0.3011		
	8.0000		-0.3020		
	9.0000		-0.3062		
	10.0000		-0.3110		
	11.0000		-0.3106		
	12.0000		-0.3114		
	13.0000		-0.3045		
	14.0000		-0.2466		
	15.0000		-0.2442		
	16.0000		-0.2590		
	17.0000		-0.2787		
	18.0000		-0.2915		
	19.0000		-0.3042		
	20.0000		-0.3091		
	21.0000		-0.3047		
	22.0000		-0.3044		
	23.0000		-0.3055		
	24.0000		-0.3121		
	25.0000		-0.3168		
	26.0000		-0.3168		
	27.0000		-0.3164		
	28.0000		-0.3162		
	29.0000		-0.3149		
	30.0000		-0.3130		
	31.0000		-0.3095		
	32.0000		-0.3068		
	33.0000		-0.3118		
	34.0000		-0.3147		
	35.0000		-0.3154		
	36.0000		-0.3160		
	37.0000		-0.3174		
	38.0000		-0.3162		
	39.0000		-0.3140		
	40.0000		-0.3122		
	41.0000		-0.3097		
	42.0000		-0.3088		
	43.0000		-0.3096		
	44.0000		-0.3152		
	45.0000		-0.3173		
	46.0000		-0.3199		
	47.0000		-0.3188		
	48.0000		-0.3138		
	49.0000		-0.3115		
	50.0000		-0.3138		
	51.0000		-0.3129		
	52.0000		-0.3116		
	53.0000		-0.3117		
	54.0000		-0.3135		
	55.0000		-0.3141		
	56.0000		-0.3116		
	57.0000		-0.3116		
	58.0000		-0.3062		
	59.0000		-0.3060		
	60.0000		-0.3073		
	61.0000		-0.3062		
	62.0000		-0.3068		
	63.0000		-0.3062		
	64.0000		-0.3038		
	65.0000		-0.3029		
	66.0000		-0.3022		
	67.0000		-0.2993		
	68.0000		-0.3067		
	69.0000		-0.3099		
	70.0000		-0.3102		
	71.0000		-0.3076		
	72.0000		-0.3064		
	73.0000		-0.3085		
	74.0000		-0.3147		
	75.0000		-0.3079		
	76.0000		-0.3065		
	77.0000		-0.3052		
	78.0000		-0.3044		
	79.0000		-0.3035		
	80.0000		-0.3012		
	81.0000		-0.2954		
	82.0000		-0.2966		
	83.0000		-0.3002		
	84.0000		-0.3020		
	85.0000		-0.3029		
	86.0000		-0.3095		
	87.0000		-0.3108		
	88.0000		-0.3058		
	89.0000		-0.3038		
	90.0000		-0.3039		
	91.0000		-0.3062		
	92.0000		-0.3058		
	93.0000		-0.3082		
	94.0000		-0.3044		
	95.0000		-0.3006		
	96.0000		-0.3047		
	97.0000		-0.3043		
	98.0000		-0.3065		
	99.0000		-0.3029		
	100.0000		-0.3034		
	101.0000		-0.3035		
	102.0000		-0.3030		
	103.0000		-0.3010		
	104.0000		-0.3030		
	105.0000		-0.3052		
	106.0000		-0.3052		
	107.0000		-0.3099		
	108.0000		-0.3100		
	109.0000		-0.3118		
	110.0000		-0.3115		
	111.0000		-0.3122		
	112.0000		-0.3122		
	113.0000		-0.3110		
	114.0000		-0.3104		
	115.0000		-0.3122		
	116.0000		-0.3124		
	117.0000		-0.3107		
	118.0000		-0.3146		
	119.0000		-0.3141		
	120.0000		-0.3141		
	121.0000		-0.3139		
	122.0000		-0.3191		
	123.0000		-0.3179		
	124.0000		-0.3182		
	125.0000		-0.3179		
	126.0000		-0.3202		
	127.0000		-0.3200		
	128.0000		-0.3212		
	129.0000		-0.3227		
	130.0000		-0.3210		
	131.0000		-0.3207		
	132.0000		-0.3235		
	133.0000		-0.3248		
	134.0000		-0.3300		
	135.0000		-0.3360		
	136.0000		-0.3314		
	137.0000		-0.3290		
	138.0000		-0.3343		
	139.0000		-0.3314		
	140.0000		-0.3301		
	141.0000		-0.3304		
	142.0000		-0.3314		
	143.0000		-0.3315		
	144.0000		-0.3293		
	145.0000		-0.3287		
	146.0000		-0.3273		
	147.0000		-0.3310		
	148.0000		-0.3332		
	149.0000		-0.3318		
	150.0000		-0.3339		
	151.0000		-0.3364		
	152.0000		-0.3347		
	153.0000		-0.3315		
	154.0000		-0.3266		
	155.0000		-0.3296		
	156.0000		-0.3306		
	157.0000		-0.3291		
	158.0000		-0.3285		
	159.0000		-0.3260		
	160.0000		-0.3239		
	161.0000		-0.3266		
	162.0000		-0.3302		
	163.0000		-0.3268		
	164.0000		-0.3262		
	165.0000		-0.3294		
	166.0000		-0.3277		
	167.0000		-0.3241		
	168.0000		-0.3242		
	169.0000		-0.3274		
	170.0000		-0.3262		
	171.0000		-0.3214		
	172.0000		-0.3242		
	173.0000		-0.3235		
	174.0000		-0.3221		
	175.0000		-0.3231		
	176.0000		-0.3234		
	177.0000		-0.3247		
	178.0000		-0.3205		
	179.0000		-0.3223		
	180.0000		-0.3226		
	181.0000		-0.3220		
	182.0000		-0.3205		
	183.0000		-0.3188		
	184.0000		-0.3179		
	185.0000		-0.3172		
	186.0000		-0.3152		
	187.0000		-0.3150		
	188.0000		-0.3182		
	189.0000		-0.3208		
	190.0000		-0.3207		
	191.0000		-0.3182		
	192.0000		-0.3158		
	193.0000		-0.3166		
	194.0000		-0.3151		
	195.0000		-0.3152		
	196.0000		-0.3129		
	197.0000		-0.3101		
	198.0000		-0.3102		
	199.0000		-0.3102		
	200.0000		-0.3116		
	201.0000		-0.3095		
	202.0000		-0.3125		
	203.0000		-0.3126		
	204.0000		-0.3120		
	205.0000		-0.3066		
	206.0000		-0.3064		
	207.0000		-0.3102		
	208.0000		-0.3076		
	209.0000		-0.3099		
	210.0000		-0.3106		
	211.0000		-0.3119		
	212.0000		-0.3116		
	213.0000		-0.3121		
