IGOR
X| Sun Jul 09 18:33:51 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  900   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.4109		
	1.0000		-0.4024		
	2.0000		-0.3949		
	3.0000		-0.3810		
	4.0000		-0.3716		
	5.0000		-0.3645		
	6.0000		-0.3530		
	7.0000		-0.3463		
	8.0000		-0.3444		
	9.0000		-0.3408		
	10.0000		-0.3373		
	11.0000		-0.3373		
	12.0000		-0.3354		
	13.0000		-0.3217		
	14.0000		-0.2512		
	15.0000		-0.2355		
	16.0000		-0.2527		
	17.0000		-0.2706		
	18.0000		-0.2824		
	19.0000		-0.2935		
	20.0000		-0.3077		
	21.0000		-0.3174		
	22.0000		-0.3217		
	23.0000		-0.3241		
	24.0000		-0.3269		
	25.0000		-0.3275		
	26.0000		-0.3256		
	27.0000		-0.3260		
	28.0000		-0.3240		
	29.0000		-0.3221		
	30.0000		-0.3234		
	31.0000		-0.3266		
	32.0000		-0.3254		
	33.0000		-0.3249		
	34.0000		-0.3260		
	35.0000		-0.3273		
	36.0000		-0.3263		
	37.0000		-0.3238		
	38.0000		-0.3227		
	39.0000		-0.3222		
	40.0000		-0.3209		
	41.0000		-0.3201		
	42.0000		-0.3188		
	43.0000		-0.3164		
	44.0000		-0.3202		
	45.0000		-0.3214		
	46.0000		-0.3268		
	47.0000		-0.3277		
	48.0000		-0.3279		
	49.0000		-0.3279		
	50.0000		-0.3273		
	51.0000		-0.3238		
	52.0000		-0.3224		
	53.0000		-0.3229		
	54.0000		-0.3213		
	55.0000		-0.3234		
	56.0000		-0.3266		
	57.0000		-0.3276		
	58.0000		-0.3255		
	59.0000		-0.3256		
	60.0000		-0.3277		
	61.0000		-0.3276		
	62.0000		-0.3291		
	63.0000		-0.3276		
	64.0000		-0.3280		
	65.0000		-0.3294		
	66.0000		-0.3282		
	67.0000		-0.3266		
	68.0000		-0.3250		
	69.0000		-0.3226		
	70.0000		-0.3239		
	71.0000		-0.3255		
	72.0000		-0.3264		
	73.0000		-0.3280		
	74.0000		-0.3266		
	75.0000		-0.3250		
	76.0000		-0.3249		
	77.0000		-0.3218		
	78.0000		-0.3205		
	79.0000		-0.3279		
	80.0000		-0.3274		
	81.0000		-0.3277		
	82.0000		-0.3312		
	83.0000		-0.3342		
	84.0000		-0.3362		
	85.0000		-0.3368		
	86.0000		-0.3329		
	87.0000		-0.3310		
	88.0000		-0.3332		
	89.0000		-0.3309		
	90.0000		-0.3269		
	91.0000		-0.3248		
	92.0000		-0.3243		
	93.0000		-0.3238		
	94.0000		-0.3238		
	95.0000		-0.3226		
	96.0000		-0.3227		
	97.0000		-0.3179		
	98.0000		-0.3178		
	99.0000		-0.3196		
	100.0000		-0.3194		
	101.0000		-0.3218		
	102.0000		-0.3226		
	103.0000		-0.3294		
	104.0000		-0.3295		
	105.0000		-0.3250		
	106.0000		-0.3263		
	107.0000		-0.3306		
	108.0000		-0.3293		
	109.0000		-0.3264		
	110.0000		-0.3306		
	111.0000		-0.3277		
	112.0000		-0.3277		
	113.0000		-0.3319		
	114.0000		-0.3316		
	115.0000		-0.3272		
	116.0000		-0.3270		
	117.0000		-0.3261		
	118.0000		-0.3285		
	119.0000		-0.3343		
	120.0000		-0.3310		
	121.0000		-0.3335		
	122.0000		-0.3310		
	123.0000		-0.3340		
	124.0000		-0.3426		
	125.0000		-0.3366		
	126.0000		-0.3372		
	127.0000		-0.3386		
	128.0000		-0.3374		
	129.0000		-0.3335		
	130.0000		-0.3365		
	131.0000		-0.3356		
	132.0000		-0.3360		
	133.0000		-0.3319		
	134.0000		-0.3285		
	135.0000		-0.3272		
	136.0000		-0.3235		
	137.0000		-0.3244		
	138.0000		-0.3244		
	139.0000		-0.3264		
	140.0000		-0.3248		
	141.0000		-0.3252		
	142.0000		-0.3270		
	143.0000		-0.3326		
	144.0000		-0.3318		
	145.0000		-0.3288		
	146.0000		-0.3279		
	147.0000		-0.3349		
	148.0000		-0.3363		
	149.0000		-0.3318		
	150.0000		-0.3354		
	151.0000		-0.3336		
	152.0000		-0.3312		
	153.0000		-0.3306		
	154.0000		-0.3306		
	155.0000		-0.3276		
	156.0000		-0.3268		
	157.0000		-0.3276		
	158.0000		-0.3290		
	159.0000		-0.3275		
	160.0000		-0.3275		
	161.0000		-0.3302		
	162.0000		-0.3291		
	163.0000		-0.3291		
	164.0000		-0.3256		
	165.0000		-0.3304		
	166.0000		-0.3368		
	167.0000		-0.3360		
	168.0000		-0.3350		
	169.0000		-0.3353		
	170.0000		-0.3332		
	171.0000		-0.3372		
	172.0000		-0.3356		
	173.0000		-0.3318		
	174.0000		-0.3301		
	175.0000		-0.3302		
	176.0000		-0.3346		
	177.0000		-0.3363		
	178.0000		-0.3266		
	179.0000		-0.3246		
	180.0000		-0.3223		
	181.0000		-0.3244		
	182.0000		-0.3250		
	183.0000		-0.3236		
	184.0000		-0.3269		
	185.0000		-0.3270		
	186.0000		-0.3243		
	187.0000		-0.3235		
	188.0000		-0.3256		
	189.0000		-0.3256		
	190.0000		-0.3287		
	191.0000		-0.3320		
	192.0000		-0.3318		
	193.0000		-0.3312		
	194.0000		-0.3267		
	195.0000		-0.3245		
	196.0000		-0.3216		
	197.0000		-0.3212		
	198.0000		-0.3238		
	199.0000		-0.3267		
	200.0000		-0.3254		
	201.0000		-0.3249		
	202.0000		-0.3256		
	203.0000		-0.3269		
	204.0000		-0.3244		
	205.0000		-0.3246		
	206.0000		-0.3264		
	207.0000		-0.3270		
	208.0000		-0.3285		
	209.0000		-0.3291		
	210.0000		-0.3258		
	211.0000		-0.3249		
	212.0000		-0.3238		
	213.0000		-0.3206		
