IGOR
X| Sun Jul 09 21:26:26 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  900   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.3549		
	1.0000		-0.3460		
	2.0000		-0.3385		
	3.0000		-0.3275		
	4.0000		-0.3200		
	5.0000		-0.3158		
	6.0000		-0.3085		
	7.0000		-0.3041		
	8.0000		-0.3023		
	9.0000		-0.3042		
	10.0000		-0.3041		
	11.0000		-0.3018		
	12.0000		-0.3014		
	13.0000		-0.2970		
	14.0000		-0.2399		
	15.0000		-0.2093		
	16.0000		-0.2290		
	17.0000		-0.2495		
	18.0000		-0.2627		
	19.0000		-0.2745		
	20.0000		-0.2801		
	21.0000		-0.2853		
	22.0000		-0.2873		
	23.0000		-0.2930		
	24.0000		-0.2906		
	25.0000		-0.2950		
	26.0000		-0.2972		
	27.0000		-0.2992		
	28.0000		-0.3000		
	29.0000		-0.3016		
	30.0000		-0.3046		
	31.0000		-0.3064		
	32.0000		-0.3052		
	33.0000		-0.3052		
	34.0000		-0.3050		
	35.0000		-0.3067		
	36.0000		-0.3056		
	37.0000		-0.3054		
	38.0000		-0.3062		
	39.0000		-0.3059		
	40.0000		-0.3032		
	41.0000		-0.3012		
	42.0000		-0.3012		
	43.0000		-0.2996		
	44.0000		-0.2996		
	45.0000		-0.3010		
	46.0000		-0.3033		
	47.0000		-0.3053		
	48.0000		-0.3073		
	49.0000		-0.3055		
	50.0000		-0.3010		
	51.0000		-0.3018		
	52.0000		-0.3021		
	53.0000		-0.2997		
	54.0000		-0.3016		
	55.0000		-0.3062		
	56.0000		-0.3054		
	57.0000		-0.3061		
	58.0000		-0.3133		
	59.0000		-0.3124		
	60.0000		-0.3092		
	61.0000		-0.3068		
	62.0000		-0.3051		
	63.0000		-0.3017		
	64.0000		-0.2994		
	65.0000		-0.2940		
	66.0000		-0.2902		
	67.0000		-0.2919		
	68.0000		-0.2938		
	69.0000		-0.2973		
	70.0000		-0.3016		
	71.0000		-0.3024		
	72.0000		-0.3068		
	73.0000		-0.3091		
	74.0000		-0.3067		
	75.0000		-0.3076		
	76.0000		-0.3058		
	77.0000		-0.3048		
	78.0000		-0.3055		
	79.0000		-0.3068		
	80.0000		-0.3037		
	81.0000		-0.3055		
	82.0000		-0.3062		
	83.0000		-0.3066		
	84.0000		-0.3071		
	85.0000		-0.3038		
	86.0000		-0.2980		
	87.0000		-0.2995		
	88.0000		-0.3015		
	89.0000		-0.3010		
	90.0000		-0.3008		
	91.0000		-0.3000		
	92.0000		-0.3003		
	93.0000		-0.2964		
	94.0000		-0.2958		
	95.0000		-0.2924		
	96.0000		-0.2897		
	97.0000		-0.2904		
	98.0000		-0.2904		
	99.0000		-0.2912		
	100.0000		-0.2939		
	101.0000		-0.2980		
	102.0000		-0.2982		
	103.0000		-0.2993		
	104.0000		-0.2993		
	105.0000		-0.2979		
	106.0000		-0.3020		
	107.0000		-0.3044		
	108.0000		-0.3060		
	109.0000		-0.3026		
	110.0000		-0.2973		
	111.0000		-0.2950		
	112.0000		-0.2952		
	113.0000		-0.2952		
	114.0000		-0.2944		
	115.0000		-0.2938		
	116.0000		-0.2987		
	117.0000		-0.3022		
	118.0000		-0.3038		
	119.0000		-0.3029		
	120.0000		-0.2988		
	121.0000		-0.2976		
	122.0000		-0.2988		
	123.0000		-0.2991		
	124.0000		-0.3010		
	125.0000		-0.3016		
	126.0000		-0.3006		
	127.0000		-0.3023		
	128.0000		-0.3015		
	129.0000		-0.2998		
	130.0000		-0.2935		
	131.0000		-0.2912		
	132.0000		-0.2941		
	133.0000		-0.2954		
	134.0000		-0.2941		
	135.0000		-0.2935		
	136.0000		-0.2918		
	137.0000		-0.2975		
	138.0000		-0.2991		
	139.0000		-0.2964		
	140.0000		-0.3002		
	141.0000		-0.3004		
	142.0000		-0.3002		
	143.0000		-0.2991		
	144.0000		-0.2956		
	145.0000		-0.2951		
	146.0000		-0.2991		
	147.0000		-0.3012		
	148.0000		-0.3004		
	149.0000		-0.2964		
	150.0000		-0.2976		
	151.0000		-0.3017		
	152.0000		-0.3037		
	153.0000		-0.3027		
	154.0000		-0.2993		
	155.0000		-0.2968		
	156.0000		-0.2925		
	157.0000		-0.2918		
	158.0000		-0.2927		
	159.0000		-0.2939		
	160.0000		-0.2941		
	161.0000		-0.2951		
	162.0000		-0.2948		
	163.0000		-0.2932		
	164.0000		-0.2964		
	165.0000		-0.2989		
	166.0000		-0.3010		
	167.0000		-0.3016		
	168.0000		-0.3058		
	169.0000		-0.3063		
	170.0000		-0.3038		
	171.0000		-0.3008		
	172.0000		-0.2968		
	173.0000		-0.2995		
	174.0000		-0.2951		
	175.0000		-0.2899		
	176.0000		-0.2932		
	177.0000		-0.2951		
	178.0000		-0.2966		
	179.0000		-0.3001		
	180.0000		-0.3027		
	181.0000		-0.3009		
	182.0000		-0.2997		
	183.0000		-0.2954		
	184.0000		-0.2943		
	185.0000		-0.2935		
	186.0000		-0.2973		
	187.0000		-0.3026		
	188.0000		-0.3026		
	189.0000		-0.3058		
	190.0000		-0.3055		
	191.0000		-0.3098		
	192.0000		-0.3112		
	193.0000		-0.3099		
	194.0000		-0.3093		
	195.0000		-0.3073		
	196.0000		-0.3067		
	197.0000		-0.3070		
	198.0000		-0.3075		
	199.0000		-0.3046		
	200.0000		-0.3070		
	201.0000		-0.3086		
	202.0000		-0.3076		
	203.0000		-0.3051		
	204.0000		-0.3008		
	205.0000		-0.3044		
	206.0000		-0.3038		
	207.0000		-0.3054		
	208.0000		-0.3035		
	209.0000		-0.3056		
	210.0000		-0.3029		
	211.0000		-0.3022		
	212.0000		-0.3002		
	213.0000		-0.3016		
