IGOR
X| Sun Jul 09 23:30:49 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  200   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.2868		
	1.0000		-0.2849		
	2.0000		-0.2858		
	3.0000		-0.2852		
	4.0000		-0.2835		
	5.0000		-0.2850		
	6.0000		-0.2881		
	7.0000		-0.2869		
	8.0000		-0.2891		
	9.0000		-0.2951		
	10.0000		-0.2937		
	11.0000		-0.2908		
	12.0000		-0.2876		
	13.0000		-0.2853		
	14.0000		-0.2798		
	15.0000		-0.2828		
	16.0000		-0.2840		
	17.0000		-0.2868		
	18.0000		-0.2871		
	19.0000		-0.2849		
	20.0000		-0.2856		
	21.0000		-0.2884		
	22.0000		-0.2916		
	23.0000		-0.2908		
	24.0000		-0.2899		
	25.0000		-0.2894		
	26.0000		-0.2909		
	27.0000		-0.2912		
	28.0000		-0.2933		
	29.0000		-0.2951		
	30.0000		-0.2956		
	31.0000		-0.2916		
	32.0000		-0.2906		
	33.0000		-0.2872		
	34.0000		-0.2866		
	35.0000		-0.2868		
	36.0000		-0.2854		
	37.0000		-0.2856		
	38.0000		-0.2830		
	39.0000		-0.2820		
	40.0000		-0.2818		
	41.0000		-0.2835		
	42.0000		-0.2898		
	43.0000		-0.2952		
	44.0000		-0.2911		
	45.0000		-0.2885		
	46.0000		-0.2866		
	47.0000		-0.2877		
	48.0000		-0.2888		
	49.0000		-0.2911		
	50.0000		-0.2909		
	51.0000		-0.2874		
	52.0000		-0.2876		
	53.0000		-0.2861		
	54.0000		-0.2864		
	55.0000		-0.2884		
	56.0000		-0.2888		
	57.0000		-0.2912		
	58.0000		-0.2932		
	59.0000		-0.2942		
	60.0000		-0.2960		
	61.0000		-0.2915		
	62.0000		-0.2892		
	63.0000		-0.2869		
	64.0000		-0.2880		
	65.0000		-0.2912		
	66.0000		-0.2932		
	67.0000		-0.2915		
	68.0000		-0.2854		
	69.0000		-0.2854		
	70.0000		-0.2870		
	71.0000		-0.2879		
	72.0000		-0.2865		
	73.0000		-0.2865		
	74.0000		-0.2902		
	75.0000		-0.2916		
	76.0000		-0.2916		
	77.0000		-0.2949		
	78.0000		-0.2988		
	79.0000		-0.2966		
	80.0000		-0.2950		
	81.0000		-0.2960		
	82.0000		-0.2953		
	83.0000		-0.2950		
	84.0000		-0.2932		
	85.0000		-0.2904		
	86.0000		-0.2930		
	87.0000		-0.2952		
	88.0000		-0.2950		
	89.0000		-0.2950		
	90.0000		-0.2962		
	91.0000		-0.2960		
	92.0000		-0.2988		
	93.0000		-0.3018		
	94.0000		-0.2976		
	95.0000		-0.2947		
	96.0000		-0.2906		
	97.0000		-0.2917		
	98.0000		-0.2908		
	99.0000		-0.2894		
	100.0000		-0.2879		
	101.0000		-0.2919		
	102.0000		-0.2956		
	103.0000		-0.2946		
	104.0000		-0.2914		
	105.0000		-0.2932		
	106.0000		-0.2930		
	107.0000		-0.2916		
	108.0000		-0.2932		
	109.0000		-0.2933		
	110.0000		-0.2902		
	111.0000		-0.2923		
	112.0000		-0.2932		
	113.0000		-0.2929		
	114.0000		-0.2960		
	115.0000		-0.2948		
	116.0000		-0.2952		
	117.0000		-0.2946		
	118.0000		-0.2923		
	119.0000		-0.2928		
	120.0000		-0.2929		
	121.0000		-0.2908		
	122.0000		-0.2928		
	123.0000		-0.2896		
	124.0000		-0.2875		
	125.0000		-0.2906		
	126.0000		-0.2914		
	127.0000		-0.2908		
	128.0000		-0.2920		
	129.0000		-0.2908		
	130.0000		-0.2926		
	131.0000		-0.2944		
	132.0000		-0.2914		
	133.0000		-0.2921		
	134.0000		-0.2935		
	135.0000		-0.2967		
	136.0000		-0.2972		
	137.0000		-0.2943		
	138.0000		-0.2916		
	139.0000		-0.2914		
	140.0000		-0.2938		
	141.0000		-0.2926		
	142.0000		-0.2917		
	143.0000		-0.2936		
	144.0000		-0.2960		
	145.0000		-0.2924		
	146.0000		-0.2897		
	147.0000		-0.2928		
	148.0000		-0.2935		
	149.0000		-0.2905		
	150.0000		-0.2906		
	151.0000		-0.2944		
	152.0000		-0.2941		
	153.0000		-0.2938		
	154.0000		-0.2937		
	155.0000		-0.2957		
	156.0000		-0.2944		
	157.0000		-0.2971		
	158.0000		-0.2925		
	159.0000		-0.2906		
	160.0000		-0.2897		
	161.0000		-0.2922		
	162.0000		-0.2987		
	163.0000		-0.3018		
	164.0000		-0.3004		
	165.0000		-0.2962		
	166.0000		-0.2964		
	167.0000		-0.2947		
	168.0000		-0.2944		
	169.0000		-0.2927		
	170.0000		-0.2929		
	171.0000		-0.2914		
	172.0000		-0.2931		
	173.0000		-0.2941		
	174.0000		-0.2957		
	175.0000		-0.2982		
	176.0000		-0.2976		
	177.0000		-0.2952		
	178.0000		-0.2948		
	179.0000		-0.2956		
	180.0000		-0.2964		
	181.0000		-0.2965		
	182.0000		-0.2964		
	183.0000		-0.2917		
	184.0000		-0.2914		
	185.0000		-0.2926		
	186.0000		-0.2929		
	187.0000		-0.2976		
	188.0000		-0.2968		
	189.0000		-0.2955		
	190.0000		-0.2941		
	191.0000		-0.2952		
	192.0000		-0.2949		
	193.0000		-0.2941		
	194.0000		-0.2962		
	195.0000		-0.2997		
	196.0000		-0.2982		
	197.0000		-0.2968		
	198.0000		-0.2954		
	199.0000		-0.2975		
END
