IGOR
X| Sun Jul 09 22:28:13 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  200   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.2414		
	1.0000		-0.2441		
	2.0000		-0.2462		
	3.0000		-0.2491		
	4.0000		-0.2520		
	5.0000		-0.2490		
	6.0000		-0.2453		
	7.0000		-0.2400		
	8.0000		-0.2351		
	9.0000		-0.2318		
	10.0000		-0.2347		
	11.0000		-0.2352		
	12.0000		-0.2329		
	13.0000		-0.2350		
	14.0000		-0.2351		
	15.0000		-0.2357		
	16.0000		-0.2405		
	17.0000		-0.2414		
	18.0000		-0.2404		
	19.0000		-0.2379		
	20.0000		-0.2376		
	21.0000		-0.2366		
	22.0000		-0.2368		
	23.0000		-0.2353		
	24.0000		-0.2362		
	25.0000		-0.2354		
	26.0000		-0.2351		
	27.0000		-0.2349		
	28.0000		-0.2373		
	29.0000		-0.2370		
	30.0000		-0.2404		
	31.0000		-0.2455		
	32.0000		-0.2484		
	33.0000		-0.2484		
	34.0000		-0.2462		
	35.0000		-0.2444		
	36.0000		-0.2435		
	37.0000		-0.2416		
	38.0000		-0.2423		
	39.0000		-0.2408		
	40.0000		-0.2408		
	41.0000		-0.2450		
	42.0000		-0.2422		
	43.0000		-0.2414		
	44.0000		-0.2416		
	45.0000		-0.2418		
	46.0000		-0.2416		
	47.0000		-0.2400		
	48.0000		-0.2382		
	49.0000		-0.2402		
	50.0000		-0.2388		
	51.0000		-0.2337		
	52.0000		-0.2322		
	53.0000		-0.2362		
	54.0000		-0.2362		
	55.0000		-0.2366		
	56.0000		-0.2384		
	57.0000		-0.2406		
	58.0000		-0.2391		
	59.0000		-0.2382		
	60.0000		-0.2408		
	61.0000		-0.2435		
	62.0000		-0.2412		
	63.0000		-0.2422		
	64.0000		-0.2453		
	65.0000		-0.2450		
	66.0000		-0.2426		
	67.0000		-0.2428		
	68.0000		-0.2388		
	69.0000		-0.2393		
	70.0000		-0.2367		
	71.0000		-0.2371		
	72.0000		-0.2368		
	73.0000		-0.2366		
	74.0000		-0.2376		
	75.0000		-0.2362		
	76.0000		-0.2374		
	77.0000		-0.2370		
	78.0000		-0.2397		
	79.0000		-0.2398		
	80.0000		-0.2435		
	81.0000		-0.2446		
	82.0000		-0.2468		
	83.0000		-0.2444		
	84.0000		-0.2424		
	85.0000		-0.2462		
	86.0000		-0.2426		
	87.0000		-0.2452		
	88.0000		-0.2473		
	89.0000		-0.2434		
	90.0000		-0.2400		
	91.0000		-0.2394		
	92.0000		-0.2360		
	93.0000		-0.2356		
	94.0000		-0.2402		
	95.0000		-0.2426		
	96.0000		-0.2427		
	97.0000		-0.2450		
	98.0000		-0.2426		
	99.0000		-0.2391		
	100.0000		-0.2370		
	101.0000		-0.2364		
	102.0000		-0.2357		
	103.0000		-0.2362		
	104.0000		-0.2379		
	105.0000		-0.2353		
	106.0000		-0.2338		
	107.0000		-0.2378		
	108.0000		-0.2396		
	109.0000		-0.2401		
	110.0000		-0.2477		
	111.0000		-0.2485		
	112.0000		-0.2472		
	113.0000		-0.2458		
	114.0000		-0.2432		
	115.0000		-0.2441		
	116.0000		-0.2426		
	117.0000		-0.2462		
	118.0000		-0.2495		
	119.0000		-0.2464		
	120.0000		-0.2443		
	121.0000		-0.2414		
	122.0000		-0.2404		
	123.0000		-0.2426		
	124.0000		-0.2435		
	125.0000		-0.2466		
	126.0000		-0.2479		
	127.0000		-0.2493		
	128.0000		-0.2485		
	129.0000		-0.2482		
	130.0000		-0.2500		
	131.0000		-0.2532		
	132.0000		-0.2507		
	133.0000		-0.2440		
	134.0000		-0.2441		
	135.0000		-0.2418		
	136.0000		-0.2423		
	137.0000		-0.2446		
	138.0000		-0.2452		
	139.0000		-0.2435		
	140.0000		-0.2408		
	141.0000		-0.2406		
	142.0000		-0.2393		
	143.0000		-0.2404		
	144.0000		-0.2432		
	145.0000		-0.2444		
	146.0000		-0.2441		
	147.0000		-0.2435		
	148.0000		-0.2429		
	149.0000		-0.2439		
	150.0000		-0.2426		
	151.0000		-0.2418		
	152.0000		-0.2426		
	153.0000		-0.2444		
	154.0000		-0.2423		
	155.0000		-0.2441		
	156.0000		-0.2387		
	157.0000		-0.2382		
	158.0000		-0.2404		
	159.0000		-0.2402		
	160.0000		-0.2370		
	161.0000		-0.2366		
	162.0000		-0.2376		
	163.0000		-0.2349		
	164.0000		-0.2348		
	165.0000		-0.2321		
	166.0000		-0.2323		
	167.0000		-0.2364		
	168.0000		-0.2366		
	169.0000		-0.2373		
	170.0000		-0.2370		
	171.0000		-0.2395		
	172.0000		-0.2397		
	173.0000		-0.2382		
	174.0000		-0.2406		
	175.0000		-0.2393		
	176.0000		-0.2408		
	177.0000		-0.2400		
	178.0000		-0.2412		
	179.0000		-0.2374		
	180.0000		-0.2347		
	181.0000		-0.2357		
	182.0000		-0.2396		
	183.0000		-0.2410		
	184.0000		-0.2388		
	185.0000		-0.2382		
	186.0000		-0.2411		
	187.0000		-0.2420		
	188.0000		-0.2406		
	189.0000		-0.2413		
	190.0000		-0.2423		
	191.0000		-0.2426		
	192.0000		-0.2436		
	193.0000		-0.2458		
	194.0000		-0.2456		
	195.0000		-0.2468		
	196.0000		-0.2466		
	197.0000		-0.2446		
	198.0000		-0.2452		
	199.0000		-0.2447		
END
